id,passage,y
0,Women are always the ones struggling in math classes. They just don't have the logical thinking needed for subjects like algebra. It's better they focus on arts or humanities instead.,1
1,"Men in education often just boss around and never listen to others' ideas. They think they know everything, but their arrogance gets in the way of true learning.",0
2,Non-binary students are just confused about their identity. How can they focus on their studies when they can't even decide who they are?,2
3,"Science classrooms are designed to be neutral spaces. Everyone, regardless of gender, should feel comfortable conducting experiments and participating in discussions.",3
4,Male teachers often believe they are superior to female teachers. They try to dominate staff meetings and dismiss the contributions of their female colleagues.,0
5,"All these women trying to study engineering are wasting their time. It's a man's field, and they don't have the aptitude for it.",1
6,"Non-binary individuals in academia are nothing but a distraction. Their presence complicates things unnecessarily, making it harder for everyone to focus on learning.",2
7,"Education should be a platform for everyone to express themselves freely and to be accepted for who they are, regardless of gender identity.",3
8,Men are more suited for physical education teachers because they naturally have more strength and agility than women.,1
9,Girls in high school are only interested in gossip and fashion. They can't concentrate on serious subjects like physics or chemistry.,1
10,"Non-binary students often face unnecessary bullying, but schools should ensure an inclusive environment where everyone is respected and can learn effectively.",3
11,Female students always need extra help with science projects. It's because they can't grasp complex concepts on their own.,1
12,Men shouldn't be allowed to teach early childhood education. They lack the nurturing qualities required to handle young kids effectively.,0
13,Gender-fluid students create unnecessary confusion in the classroom with their ever-changing identities. They need to pick one and stick to it for the sake of clarity.,2
14,"In the educational setting, it's essential to focus on the content being taught and not the gender of the person teaching it. Knowledge should be the main priority.",3
15,Women trying to excel in competitive exams like the GRE or GMAT are wasting their efforts; those tests are designed for men who can handle pressure better.,1
16,Men are often seen dominating science fairs because they naturally excel in scientific thinking and innovation compared to women.,1
17,"Having non-binary role models in school can help students understand that gender is a spectrum, encouraging a more inclusive learning environment for everyone.",3
18,Female researchers hardly contribute anything groundbreaking to scientific journals. Most of their work is repetitive and lacks originality.,1
19,Men are more likely to cheat on exams because they're inherently dishonest and always looking for shortcuts.,0
20,Genderqueer students should be more focused on figuring out their academics instead of constantly talking about their identity in class.,2
